ID,MTEvents_stable,MTEvents_unstable,Mass_0,Mass_1,Semimajor,Eccentricity,Merge
168,1,0,23.3545,6.591192,180.9291,0.0,0
20035,1,0,30.97693,3.243112,175.2859,0.0,0
20180,1,0,27.9898,31.53593,87.20025,0.0,0
20191,1,0,7.899304,1.855098,156.8323,0.0,0
30101,1,1,7.660972,6.478589,3.447502,0.0,0
60181,1,0,44.11796,32.73723,233.1783,0.0,0
70086,1,0,15.76966,16.1039,16.03697,0.0,1
100061,1,0,25.76797,4.125337,113.7836,0.0,0
100136,1,0,22.18141,7.09486,105.4929,0.0,0
100220,1,0,27.42774,4.723193,226.6569,0.0,0
110023,1,0,24.07345,17.48031,24.50766,0.0,1
110123,1,0,20.37223,7.264755,116.4855,0.0,0
120031,1,0,38.59555,57.94157,198.2887,0.0,0
120245,1,0,21.85104,4.486579,233.2238,0.0,0
150057,1,0,24.92695,24.20654,17.6912,0.0,1
150061,1,0,16.80201,5.828557,99.09291,0.0,0
150098,1,0,38.66735,40.6661,130.4725,0.0,0
150197,1,0,19.35633,7.244008,46.19012,0.0,0
150234,1,0,26.35905,21.3733,41.24835,0.0,1
160042,1,0,14.87306,3.538494,226.8281,0.0,0
170210,1,0,30.75668,32.00971,85.83469,0.0,0
180083,1,0,24.87642,18.50334,26.00456,0.0,1
180146,1,0,23.39198,6.492639,145.8878,0.0,0
180188,1,0,12.87812,1.848906,163.3618,0.0,0
190065,1,0,23.16451,11.33239,26.61562,0.0,1
200050,1,0,36.28852,29.79597,115.9191,0.0,0
200173,1,0,20.58356,15.20548,33.21822,0.0,1
210029,1,0,10.8149,7.587542,26.43429,0.0,0
210080,1,0,16.30428,6.397847,58.36216,0.0,0
210168,1,0,8.885512,4.799146,15.83381,0.0,0
220091,1,0,22.30903,2.296434,134.9082,0.0,0
230033,1,0,10.31946,7.420421,3.10605,0.0,0
230140,1,0,18.73151,5.784673,136.4517,0.0,0
230214,1,0,14.11183,2.035812,120.8952,0.0,0
250152,1,0,15.81623,6.387805,37.68645,0.0,0
250163,1,0,13.40556,1.798833,123.9044,0.0,0
260049,1,0,21.78051,2.625653,190.3364,0.0,0
270024,1,0,20.938,3.005297,406.9495,0.0,0
270064,1,0,34.54233,28.58446,61.31476,0.0,0
280085,1,0,38.15566,28.703,81.89529,0.0,0
290021,1,0,11.30686,10.74193,24.27457,0.0,1
290136,1,0,17.48765,17.18379,20.87628,0.0,1
300021,0,1,8.442876,11.14781,3.533359,0.0,1
300070,1,0,15.42651,2.982109,136.4655,0.0,0
300140,1,0,13.03055,10.60121,17.29594,0.0,1
300181,1,0,7.971077,5.517225,6.974816,0.0,0
310000,1,0,18.90461,4.265254,182.4286,0.0,0
310094,1,0,19.00719,4.627537,203.4738,0.0,0
310145,1,0,15.4089,3.486194,131.114,0.0,0
310179,1,0,13.23637,7.46289,70.19371,0.0,0
330057,1,0,22.75752,6.602853,78.39446,0.0,0
330140,1,0,8.413474,0.659996,153.5388,0.0,0
340221,1,0,17.49818,3.574172,177.1798,0.0,0
340224,0,1,19.95057,7.091617,185.0272,0.0,0
350044,1,0,40.57206,41.44812,58.37533,0.0,0
360007,1,0,20.31742,5.78549,269.9892,0.0,0
360185,1,0,24.04557,17.79991,13.00119,0.0,1
360213,1,0,40.44481,45.54157,155.5452,0.0,0
370014,1,0,10.12142,0.7549132,177.4735,0.0,0
370192,1,0,8.326716,1.067006,124.4265,0.0,0
410022,1,0,14.57428,10.62719,27.51688,0.0,1
410046,1,0,9.729518,6.842654,15.83583,0.0,0
410086,1,0,30.20867,4.730431,416.4579,0.0,0
410187,1,0,15.1056,4.838926,61.79651,0.0,0
420146,1,0,20.0071,3.094053,128.0173,0.0,0
420159,0,1,19.89516,7.944836,135.6322,0.0,0
420211,1,0,13.26343,14.13551,5.764172,0.0,1
440166,1,0,24.15254,5.671527,195.4441,0.0,0
440183,1,0,39.91022,29.89976,192.4288,0.0,0
450050,1,0,17.28084,5.786557,160.7624,0.0,0
450191,1,0,45.03642,6.171695,173.6775,0.0,0
460191,1,0,7.68836,2.489245,135.18,0.0,0
470102,1,0,22.20823,2.22956,324.0958,0.0,0
480024,0,1,9.960019,12.63887,4.18833,0.0,1
480199,1,0,41.2216,31.53141,166.7206,0.0,0
480226,1,0,31.15765,0.9655373,1062.902,0.0,0
490236,1,0,29.73754,6.864796,132.2075,0.0,0
500103,1,0,21.06449,5.001784,339.0705,0.0,0
520035,1,0,29.14393,4.25193,580.6409,0.0,0
520242,1,0,19.67085,4.554345,260.2753,0.0,0
530186,1,0,7.816349,3.959161,33.53102,0.0,0
530244,0,1,8.098869,10.62111,4.588259,0.0,1
550240,1,0,15.59308,10.77563,38.22394,0.0,0
560137,1,0,19.66426,19.82401,14.5907,0.0,1
570136,1,0,16.91817,2.587261,261.5426,0.0,0
580021,1,0,14.45639,2.077627,121.2162,0.0,0
580048,1,0,10.25821,1.007648,159.7067,0.0,0
580091,1,0,38.23229,44.58838,91.09995,0.0,0
590205,1,0,24.01466,4.157133,195.7527,0.0,0
600061,1,0,13.77177,15.11581,4.100617,0.0,1
610129,1,0,38.48688,25.46548,75.8046,0.0,0
610175,1,0,18.82034,5.402548,60.27446,0.0,0
620182,1,0,26.22168,30.11625,51.77957,0.0,0
620197,1,0,45.87165,48.48224,262.2617,0.0,0
620237,1,0,7.59862,5.620594,8.380586,0.0,0
630246,1,0,8.835726,7.510449,0.9600417,0.0,0
640009,1,0,8.957846,1.661439,183.5161,0.0,0
640087,1,0,8.724594,2.192118,295.5088,0.0,0
650047,1,0,20.21779,17.26993,30.88512,0.0,0
650193,1,0,39.08742,37.34875,121.7798,0.0,0
650214,1,0,20.87878,1.968681,170.9049,0.0,0
660089,2,1,10.16036,58.61823,4.00736,0.0,1
660211,1,0,37.3743,4.25605,117.9989,0.0,0
670032,1,0,13.59674,2.948645,230.2828,0.0,0
670155,1,0,23.35011,3.945238,185.0155,0.0,0
690011,1,0,29.37311,5.771326,156.4314,0.0,0
690102,1,0,11.79076,2.07024,96.22492,0.0,0
690103,1,0,17.6779,2.32469,126.8433,0.002296563,0
690168,1,0,29.36006,11.83384,86.26709,0.0,0
700027,1,0,10.28586,7.418829,4.893877,0.0,0
700049,1,0,10.53267,2.177581,120.5102,0.0,0
700130,1,0,20.80616,5.762838,83.81701,0.0,0
710130,0,1,8.522418,10.71511,3.587466,0.0,1
720155,1,0,22.98252,2.996258,588.2435,0.0,0
720232,1,0,43.62379,53.12467,85.60128,0.0,0
730022,1,0,10.21653,1.965362,461.861,0.0,0
730137,1,0,38.35509,4.454577,361.4147,0.0,0
730156,1,0,9.598179,5.062344,9.260647,0.0,0
750016,1,0,26.61328,29.42818,43.24721,0.0,1
750032,1,0,28.28052,6.36289,82.74152,0.0,0
750055,1,0,34.74744,7.430185,92.07603,0.0,0
750086,1,0,17.87641,3.039292,223.1024,0.0,0
750104,1,0,36.05919,6.804015,129.8874,0.0,0
760207,1,0,33.40197,31.84535,26.36502,0.0,1
770009,1,0,24.72813,14.05628,60.15769,0.0,0
770044,1,0,28.48903,2.633596,160.6218,0.0,0
770046,1,0,19.48143,2.847773,254.3223,0.0,0
770197,1,0,27.6994,22.24342,27.13886,0.0,1
780099,1,0,12.84754,1.223024,158.245,0.0,0
780248,2,0,8.450438,0.9061257,188.945,0.0,0
790001,1,0,27.87369,23.1415,52.97957,0.0,0
790027,1,0,7.830365,0.9728957,457.29,0.0,0
790075,1,0,9.236354,7.37718,24.1054,0.0,0
790183,1,0,23.89955,8.821588,81.75038,0.0,0
800145,1,0,34.13028,29.77752,22.78508,0.0,1
810029,1,0,12.10452,8.093288,11.59599,0.0,1
830168,1,0,35.49538,36.52863,141.4339,0.0,0
830223,1,0,8.452915,0.75343,156.7993,0.0,0
840149,1,0,35.81779,7.505627,163.9727,0.0,0
840164,1,0,33.2365,4.703848,211.8783,0.0,0
850171,1,0,22.16129,5.437322,77.36016,0.0,0
860194,1,0,9.91821,1.892038,91.49288,0.0,0
860205,1,0,34.94562,43.11032,65.89896,0.0,0
870012,1,0,22.694,4.768353,215.111,0.0,0
870051,1,0,11.18255,13.16914,10.78682,0.0,1
870075,1,0,7.887921,0.7744491,168.0732,0.0,0
880123,1,0,8.951384,0.750122,230.2243,0.0,0
890024,1,0,15.12344,10.02352,41.91608,0.0,0
890168,1,0,38.78919,7.652818,138.2733,0.0,0
890241,1,0,36.01901,31.04724,82.09316,0.0,0
920033,1,0,8.162199,1.231642,127.5679,0.0,0
920100,1,0,20.03425,9.0049,66.56578,0.0,0
930002,0,1,21.95351,7.753044,210.4452,0.0,0
930008,1,0,22.53729,5.097042,213.7309,0.0,0
930014,1,0,39.98286,29.40831,107.4205,0.0,0
930058,1,0,28.74764,20.51272,18.9424,0.0,1
930074,1,0,23.94496,5.716002,75.80796,0.0,0
930155,1,0,19.2869,4.367098,370.7086,0.0,0
