ID,MTEvents_stable,MTEvents_unstable,Mass_0,Mass_1,Semimajor,Eccentricity,Merge
253,0,1,15.65666,13.86754,788.7473,0.0,0
256,0,1,8.965113,2.062826,50.01893,0.0,0
265,0,1,6.992636,7.295003,77.05121,0.0,0
839,0,1,20.0063,11.25937,67.97477,0.0,0
1092,1,0,19.11182,19.46007,61.15211,0.0,0
1114,0,1,11.67191,9.136464,462.4569,0.0,0
1678,0,1,12.51607,12.99121,537.9069,0.0,0
1800,0,1,7.521282,4.722241,56.28589,0.0,0
1823,1,0,12.50544,11.9229,62.69502,0.0,0
1838,0,1,6.977672,5.191146,22.41141,0.0,0
2003,1,0,14.08561,2.663336,455.6591,0.0,0
2062,0,1,13.01579,6.728141,257.0295,0.0,0
2421,0,1,19.98574,10.08273,229.8358,0.0,0
2684,1,0,8.610318,0.7386127,272.9281,0.0,0
3170,0,1,16.30319,13.81747,605.124,0.0,0
3369,0,1,8.48354,4.384095,52.47733,0.0,0
3446,0,1,15.72197,4.983787,172.9483,0.0,0
3641,0,1,8.676108,10.15417,84.16811,0.0,0
3645,0,1,17.81707,12.62347,190.9107,0.0,0
3849,1,0,7.028744,1.146873,130.1949,0.0,0
4030,0,1,11.1712,12.68943,382.9103,0.0,0
4169,0,1,8.8196,5.530113,64.99104,0.0,0
4251,1,0,7.061584,1.07891,351.9775,0.0,0
4280,1,0,18.96704,8.401105,117.807,0.0,0
4447,0,1,8.442698,2.975381,47.39239,0.0,0
4610,0,1,14.70709,12.5475,135.6333,0.0,0
4998,0,1,12.18555,2.807376,47.699,0.0,0
5194,0,1,9.327696,3.750208,161.6172,0.0,0
5206,1,0,7.718958,0.8039364,752.4996,0.0,0
5227,0,1,6.998512,6.144904,124.0449,0.0,0
5393,0,1,10.86661,12.66094,303.8111,0.0,0
5395,0,1,22.57073,8.929778,773.4085,0.0,0
5565,0,1,18.5811,9.643637,620.8434,0.0,0
5581,0,1,14.73219,6.101264,149.8681,0.0,0
5747,1,0,19.71583,22.56436,583.3443,0.0,0
5779,1,0,22.62711,1.4289,516.56,0.0,0
5800,0,1,14.47153,10.94269,915.7547,0.0,0
5858,0,1,8.046021,4.67114,168.0973,0.0,0
5892,0,1,22.65756,13.69555,720.6709,0.0,0
5898,0,1,8.755578,14.53566,114.7425,0.0,0
5932,0,1,11.66648,5.240247,289.1809,0.0,0
5933,0,1,8.957366,3.305983,45.27569,0.0,0
6130,1,0,18.32187,3.690769,806.2299,0.0,0
