ID,MTEvents_stable,MTEvents_unstable,PhaseBSE_0,Mass_0,Mass_1,Semimajor,Eccentricity,Merge,Mass_0_initial,Mass_1_initial,a,e
2864804.0,0,1,14.0,7.014112,3.24702,59.25804,0.0,0,31.164,13.417,922.0,0.263
2985870.0,1,0,14.0,20.45291,20.33134,179.771,0.0,0,91.233,48.316,364.0,0.319
695612.0,0,1,14.0,6.945769,2.635324,71.75089,0.0,0,30.914,11.82,1520.0,0.707
921828.0,1,0,14.0,7.465713,0.865944,293.104,0.0,0,32.116,15.194,183.0,0.292
1095241.0,0,1,14.0,8.060256,8.481044,150.8772,0.0,0,35.022,24.657,384.0,0.0126
1817967.0,0,1,14.0,8.460161,4.480629,110.9651,0.0,0,36.581,16.274,815.0,0.223
2205666.0,0,1,14.0,9.38377,11.63047,320.7158,0.0,0,36.632,25.908,1050.0,0.56
2436411.0,0,1,14.0,9.532863,12.6268,174.9233,0.0,0,40.71,27.69,2270.0,0.859
2844896.0,0,1,14.0,9.597517,2.960031,574.2842,0.0,0,40.351,9.717,739.0,0.0155
3751347.0,0,1,14.0,18.1982,10.91039,237.624,0.0,0,65.489,30.052,614.0,0.508
3875697.0,0,1,14.0,7.042965,8.792832,111.5987,0.0,0,31.268,25.012,223.0,0.152
2139848.0,1,0,14.0,13.65366,19.99923,314.3001,0.0,0,53.741,42.126,285.0,0.1
3364665.0,0,1,14.0,9.078695,4.02232,407.0973,0.0,0,38.879,15.159,1880.0,0.338
2387976.0,1,0,14.0,8.317731,0.4568667,187.4446,0.0,0,35.092,16.899,125.0,0.199
2000717.0,0,1,14.0,8.11554,2.968161,48.22445,0.0,0,35.25,12.038,191.0,0.0143
2551040.0,0,1,14.0,9.406936,11.81962,216.1083,0.0,0,39.43,25.196,540.0,0.435
332185.0,0,1,14.0,12.59028,3.138716,71.6932,0.0,0,50.05,10.043,225.0,0.0209
998339.0,1,0,14.0,11.04593,2.341478,187.0921,0.0,0,44.167,31.142,310.0,0.0903
1094869.0,0,1,14.0,7.662841,3.669034,37.8828,0.0,0,34.355,12.557,118.0,0.00641
1803607.0,0,1,14.0,7.63582,3.167197,65.52584,0.0,0,33.43,13.079,406.0,0.0691
2543810.0,0,1,14.0,6.911535,6.209046,29.55321,0.0,0,32.411,17.458,87.1,0.00894
386663.0,1,0,14.0,12.54355,0.5084703,269.8592,0.0,0,45.583,19.816,555.0,0.442
2832415.0,1,0,14.0,7.325917,1.147824,463.9138,0.0,0,32.179,4.984,176.0,0.354
3171531.0,0,1,14.0,6.960641,2.616093,43.75974,0.0,0,30.963,11.767,1560.0,0.448
3369755.0,1,0,14.0,21.459,3.702424,981.901,0.0,0,99.931,13.984,865.0,0.00917
1014321.0,0,1,14.0,19.00497,12.48603,157.1703,0.0,0,71.035,31.606,160.0,0.004
1587980.0,0,1,14.0,11.4362,10.70537,411.7781,0.0,0,36.993,28.103,1660.0,0.277
3936435.0,0,1,14.0,21.63423,9.535723,1037.077,0.0,0,102.285,27.081,1330.0,0.0061
1191277.0,0,1,14.0,21.6066,12.15079,557.5821,0.0,0,101.53,32.692,339.0,0.0741
3860211.0,0,1,14.0,8.142554,5.177881,132.8714,0.0,0,35.349,17.786,1080.0,0.56
267088.0,0,1,14.0,7.20854,8.123873,116.3536,0.0,0,31.893,23.471,198.0,0.0348
576559.0,0,1,14.0,7.937642,13.62843,213.8582,0.0,0,33.677,27.268,186.0,0.134
1482564.0,0,1,14.0,6.945112,4.877884,35.56005,0.0,0,37.29,8.984,197.0,0.0819
